,Rating_num,Installs
0,4.1,"10,000+"
1,3.9,"500,000+"
2,4.7,"5,000,000+"
3,4.5,"50,000,000+"
4,4.3,"100,000+"
5,4.4,"50,000+"
6,3.8,"50,000+"
7,4.1,"1,000,000+"
8,4.4,"1,000,000+"
9,4.7,"10,000+"
10,4.4,"1,000,000+"
11,4.4,"1,000,000+"
12,4.2,"10,000,000+"
13,4.6,"100,000+"
14,4.4,"100,000+"
15,3.2,"5,000+"
16,4.7,"500,000+"
17,4.5,"10,000+"
18,4.3,"5,000,000+"
19,4.6,"10,000,000+"
20,4.0,"100,000+"
21,4.1,"100,000+"
22,4.7,"500,000+"
24,4.7,"50,000+"
25,4.8,"10,000+"
26,4.7,"500,000+"
27,4.1,"100,000+"
28,3.9,"10,000+"
29,4.1,"100,000+"
30,4.2,"100,000+"
31,4.1,"50,000+"
32,4.5,"100,000+"
33,4.2,"100,000+"
34,4.7,"10,000+"
35,3.8,"100,000+"
36,4.7,"500,000+"
37,4.1,"5,000,000+"
38,4.7,"10,000+"
39,4.0,"500,000+"
40,4.2,"10,000+"
41,4.5,"100,000+"
42,4.4,"10,000,000+"
43,3.8,"100,000+"
44,4.2,"10,000+"
45,4.7,"10,000,000+"
46,4.6,"100,000+"
47,4.2,"100,000+"
48,4.3,"100,000+"
49,4.2,"100,000+"
50,4.0,"1,000,000+"
51,3.8,"100,000+"
52,4.6,"1,000,000+"
53,3.9,"100,000+"
54,4.3,"100,000+"
55,4.9,"100,000+"
56,4.4,"50,000+"
57,4.2,"100,000+"
58,4.0,"100,000+"
59,3.9,"100,000+"
60,4.6,"10,000+"
61,4.9,"100,000+"
62,4.3,"1,000,000+"
63,4.6,"100,000+"
64,4.9,"100,000+"
65,3.9,"10,000+"
66,4.0,"50,000+"
67,4.3,"5,000,000+"
68,3.9,"100,000+"
69,4.2,"5,000,000+"
70,4.8,"5,000,000+"
71,3.6,"500,000+"
72,4.2,"10,000,000+"
73,4.8,"100,000+"
74,4.8,"500,000+"
75,4.6,"50,000+"
76,4.5,"100,000+"
77,4.3,"1,000,000+"
78,4.5,"100,000+"
79,4.9,"1,000,000+"
80,3.9,"50,000+"
81,4.4,"1,000,000+"
82,4.0,"500,000+"
83,4.3,"100,000+"
84,3.7,"1,000,000+"
85,4.4,"1,000,000+"
86,4.3,"100,000+"
87,3.2,"100,000+"
88,4.6,"1,000,000+"
89,4.6,"100,000+"
90,4.5,"100,000+"
91,3.7,"1,000,000+"
92,4.6,"1,000,000+"
93,4.6,"1,000,000+"
94,4.6,"1,000,000+"
95,4.0,"500,000+"
96,4.4,"500,000+"
97,4.0,"100,000+"
98,4.7,"500,000+"
99,4.9,"1,000,000+"
100,4.7,"100,000+"
101,3.9,"500,000+"
102,3.9,"1,000,000+"
103,4.2,"500,000+"
104,4.6,"100,000+"
105,4.3,"1,000,000+"
106,4.7,"50,000+"
107,4.7,"1,000,000+"
108,4.8,"10,000+"
109,4.2,"1,000,000+"
110,4.3,"100,000+"
111,4.5,"10,000+"
