Installs,Size Num
"10,000+",19000
"500,000+",14000
"5,000,000+",8700
"50,000,000+",25000
"100,000+",2800
"50,000+",5600
"50,000+",19000
"1,000,000+",29000
"1,000,000+",33000
"10,000+",3100
"1,000,000+",28000
"1,000,000+",12000
"10,000,000+",20000
"100,000+",21000
"100,000+",37000
"5,000+",2700
"500,000+",5500
"10,000+",17000
"5,000,000+",39000
"10,000,000+",31000
"100,000+",14000
"100,000+",12000
"500,000+",4200
"100,000+",7000
"50,000+",23000
"10,000+",6000
"500,000+",25000
"100,000+",6100
"10,000+",4600
"100,000+",4200
"100,000+",9200
"50,000+",5200
"100,000+",11000
"100,000+",11000
"10,000+",4200
"100,000+",9200
"500,000+",24000
"10,000+",11000
"500,000+",9400
"10,000+",15000
"100,000+",10000
"100,000+",1200
"10,000+",12000
"10,000,000+",24000
"100,000+",26000
"100,000+",8000
"100,000+",7900
"100,000+",25000
"1,000,000+",56000
"100,000+",57000
"100,000+",35000
"100,000+",33000
"100,000+",33000
"50,000+",5600
"100,000+",54000
"100,000+",201
"100,000+",3600
"10,000+",5700
"100,000+",17000
"1,000,000+",8600
"100,000+",2400
"100,000+",27000
"10,000+",2700
"50,000+",2500
"5,000,000+",7000
"5,000,000+",35000
"500,000+",16000
"10,000,000+",16000
"500,000+",17000
"50,000+",3400
"100,000+",8900
"1,000,000+",3900
"100,000+",2900
"1,000,000+",38000
"50,000+",32000
"1,000,000+",37000
"500,000+",15000
"100,000+",5400
"1,000,000+",18000
"100,000+",38000
"100,000+",1100
"100,000+",7900
"1,000,000+",35000
"1,000,000+",17000
"1,000,000+",19000
"500,000+",14000
"500,000+",2200
"100,000+",4500
"500,000+",17000
"1,000,000+",14000
"100,000+",9800
"500,000+",21000
"500,000+",52000
"100,000+",14000
"1,000,000+",25000
"50,000+",9000
"10,000+",12000
"100,000+",35000
"10,000+",6700
"50,000+",30000
"100,000+",5700
"10,000+",2900
"10,000+",17000
"10,000+",2900
"1,000,000+",2600
"50,000+",4200
"10,000+",7100
"1,000,000+",57000
"50,000+",3700
"500,000+",22000
"500,000+",24000
"100,000+",7400
"10,000+",21000
"5,000+",3400
"10,000+",2900
"10,000+",3100
"100,000+",6400
"5,000+",3200
"100,000+",8200
"10,000+",9900
"10,000+",2900
"1,000,000+",23000
"50,000+",4600
"10,000+",3100
"50,000+",4900
"100,000+",9500
"100,000+",4200
"1,000,000+",5400
"500,000+",2800
"1,000,000+",5000
"5,000,000+",5900
"100,000+",13000
"10,000,000+",7100
"500,000+",6700
"1,000,000+",17000
"1,000,000+",19000
"500,000+",6700
"1,000,000+",21000
"10,000+",2700
"5,000,000+",37000
"100,000+",15000
"5,000,000+",23000
"500,000+",19000
"1,000,000+",23000
"500,000+",73000
"500,000+",4900
"1,000,000+",6800
"100,000+",2900
"100,000+",3500
"100,000+",4000
"50,000+",21000
"500,000+",2300
"50,000+",7200
"1,000,000+",10000
"1,000,000+",6100
"1,000,000+",2100
"500,000+",42000
"100,000+",7300
"10,000,000+",30000
"5,000,000+",29000
"100,000,000+",35000
"1,000,000+",9100
"1,000,000+",25000
"500,000+",3900
"10,000,000+",18000
"5,000,000+",12000
"1,000,000+",21000
"5,000,000+",55000
"5,000,000+",3200
"100,000+",23
"1,000,000+",16000
"1,000,000+",14000
"10,000,000+",37000
"5,000,000+",11000
"100,000+",25000
"10,000,000+",7300
"1,000,000+",6500
"1,000,000+",25000
"100,000+",3100
"1,000,000+",1500
"100,000+",7500
"50,000,000+",8600
"100,000+",1200
"10,000,000+",39000
"10,000,000+",14000
"1,000,000+",19000
"100,000+",6800
"100,000+",39000
"50,000+",14000
"5,000,000+",20000
"100,000+",26000
"100,000+",51000
"1,000,000+",41000
"500,000+",20000
"500,000+",12000
"500,000+",48000
"1,000,000+",10000
"1,000,000+",22000
"1,000,000+",11000
"100,000+",8500
"100,000+",8600
"1,000,000+",28000
"10,000,000+",28000
"10,000,000+",37000
"100,000+",9000
"100,000+",46000
"50,000+",14000
"1,000,000+",26000
"500,000+",23000
"50,000+",14000
"5,000,000+",20000
"100,000+",26000
"100,000+",51000
"1,000,000+",41000
"500,000+",20000
"500,000+",12000
"500,000+",48000
"1,000,000+",10000
"1,000,000+",22000
"1,000,000+",11000
"100,000+",8500
"100,000+",8600
"1,000,000+",28000
"10,000,000+",39000
"10,000,000+",14000
"1,000,000+",19000
"100,000+",6800
"100,000+",39000
"100,000,000+",35000
"10,000+",29000
"1,000,000+",41000
"500,000+",4900
"1,000,000+",27000
"500,000+",32000
"50,000+",12000
"50,000+",15000
"50,000+",11000
